area,feeder,PEANO
N1,NIA06,24683564
N1,NIA06,18931196
N1,NIA06,23106210
N1,NIA06,6100138325
N1,NIA06,29496378
N1,NIA06,25234542
N1,NIA06,5600027391
N1,NIA06,21346429
N1,NIA06,5801101185
N1,NIA06,22389087
N1,NIA06,28051003
N1,NIA06,5700508960
N1,NIA06,6001353639
N1,NIA06,21015318
N1,NIA06,25178076
N1,NIA06,5800448880
N1,NIA06,20542977
N1,NIA06,6001460654
N1,NIA06,29134188
N1,NIA06,18199394
N1,NIA06,28051009
N1,NIA06,20218932
N1,NIA06,21145098
N1,NIA06,C952587
N1,NIA06,20642301
N1,NIA06,15355849
N1,NIA06,21055896
N1,NIA06,18153980
N1,NIA06,16126608
N1,NIA06,17927491
N1,NIA06,19348828
N1,NIA06,6000265704
N1,NIA06,19684591
N1,NIA06,24376156
N1,NIA06,23311981
N1,NIA06,18004564
N1,NIA06,23140711
N1,NIA06,18730153
N1,NIA06,21015636
N1,NIA06,22008375
N1,NIA06,17852420
N1,NIA06,16740128
N1,NIA06,26465333
N1,NIA06,19762357
N1,NIA06,24376064
N1,NIA06,25766460
N1,NIA06,18224682
N1,NIA06,18224675
N1,NIA06,22390502
N1,NIA06,6100822720
N1,NIA06,16696222
N1,NIA06,18588693
N1,NIA06,5900836780
N1,NIA06,23891663
N1,NIA06,21015382
N1,NIA06,18588669
N1,NIA06,21396598
N1,NIA06,19684543
N1,NIA06,5800254676
N1,NIA06,25757451
N1,NIA06,21346431
N1,NIA06,16955830
N1,NIA06,20218930
N1,NIA06,19142808
N1,NIA06,24552958
N1,NIA06,18544761
N1,NIA06,29813403
N1,NIA06,5600060515
N1,NIA06,25225162
N1,NIA06,20218929
N1,NIA06,6100180308
N1,NIA06,22965198
N1,NIA06,29080016
N1,NIA06,18544669
N1,NIA06,20587493
N1,NIA06,21378848
N1,NIA06,25785927
N1,NIA06,21293352
N1,NIA06,5701352678
N1,NIA06,24552883
N1,NIA06,23076493
N1,NIA06,21247108
N1,NIA06,6001460651
N1,NIA06,Z10126186
N1,NIA06,19063521
N1,NIA06,6001460659
N1,NIA06,23716954
N1,NIA06,29496351
N1,NIA06,22912450
N1,NIA06,19202456
N1,NIA06,24176743
N1,NIA06,5600027012
N1,NIA06,20041767
N1,NIA06,29002387
N1,NIA06,25167336
N1,NIA06,27379864
N1,NIA06,23717006
N1,NIA06,20642443
N1,NIA06,21014687
N1,NIA06,20839868
N1,NIA06,28051015
N1,NIA06,19683055
N1,NIA06,23980059
N1,NIA06,6000266205
N1,NIA06,24179008
N1,NIA06,27883511
N1,NIA06,16639007
N1,NIA06,6100000005
N1,NIA06,6001460677
N1,NIA06,23270375
N1,NIA06,29080029
N1,NIA06,22912511
N1,NIA06,22353050
N1,NIA06,15355785
N1,NIA06,25242195
N1,NIA06,27703358
N1,NIA06,27068768
N1,NIA06,6100928758
N1,NIA06,24442214
N1,NIA06,5701286772
N1,NIA06,23297595
N1,NIA06,16002428
N1,NIA06,28640200
N1,NIA06,27795709
N1,NIA06,6001460719
N1,NIA06,26465334
N1,NIA06,22912384
N1,NIA06,20166735
N1,NIA06,21346609
N1,NIA06,29124658
N1,NIA06,E017154
N1,NIA06,21128901
N1,NIA06,18354442
N1,NIA06,5701455041
N1,NIA06,26815298
N1,NIA06,26815294
N1,NIA06,26055968
N1,NIA06,25264928
N1,NIA06,25757471
N1,NIA06,5900042271
N1,NIA06,21796588
N1,NIA06,6001353596
N1,NIA06,5900455509
N1,NIA06,28051501
N1,NIA06,21987986
N1,NIA06,17199103
N1,NIA06,25167499
N1,NIA06,16103599
N1,NIA06,23002312
N1,NIA06,5800665113
N1,NIA06,5800025053
N1,NIA06,28051014
N1,NIA06,5701189335
N1,NIA06,20642508
N1,NIA06,24176738
N1,NIA06,6001353182
N1,NIA06,19202374
N1,NIA06,25757465
N1,NIA06,27802678
N1,NIA06,20369335
N1,NIA06,25786365
N1,NIA06,29189940
N1,NIA06,19009946
N1,NIA06,5700258473
N1,NIA06,23716963
N1,NIA06,14878416
N1,NIA06,17927329
N1,NIA06,6000266065
N1,NIA06,5600060714
N1,NIA06,6001461185
N1,NIA06,19809285
N1,NIA06,25772976
N1,NIA06,14606786
N1,NIA06,18931306
N1,NIA06,18524825
N1,NIA06,18198693
N1,NIA06,6001460655
